r 6 983
r 0 813
r 17 312
r 1 236
r 13 210
e 60 190
r 2 181
e 0 162
e 3 156
e 1 151
e 25 147
e 40 147
e 110 143
r 5 143
e 31 139
e 17 133
r 24 132
e 2 130
e 90 130
e 104 126
e 39 122
e 32 116
e 45 112
e 28 110
e 50 107
e 132 107
e 53 106
e 12 105
e 26 105
e 30 104
e 121 102
e 176 102
e 47 100
e 61 99
e 16 98
e 58 98
r 12 98
e 24 97
e 29 97
e 76 93
e 67 87
e 44 86
e 144 85
r 27 85
e 73 84
e 13 83
r 41 82
e 69 81
e 131 81
e 5 80
e 22 80
e 100 79
r 21 79
e 85 77
e 9 76
e 19 76
e 116 76
r 9 75
e 18 74
e 95 74
e 77 73
e 105 72
e 109 67
e 33 66
e 66 65
e 68 65
e 82 64
e 177 64
e 103 62
r 10 62
r 11 62
e 4 61
e 70 60
e 97 59
e 46 58
e 81 57
r 19 56
e 14 55
e 55 55
e 78 55
e 84 53
e 15 52
r 7 52
e 87 50
r 22 49
e 152 48
e 141 46
e 99 45
e 120 45
e 98 44
r 38 44
e 106 43
e 125 43
r 3 43
r 60 43
e 49 42
r 20 42
e 7 41
e 145 41
e 65 40
e 80 40
e 119 39
e 124 39
r 23 39
r 4 38
e 140 37
e 156 37
e 88 36
e 150 35
e 159 35
e 38 34
e 102 33
e 196 33
e 149 31
e 74 30
e 83 30
e 155 30
r 51 30
e 27 29
e 147 29
e 173 29
r 14 29
e 6 28
e 62 28
e 118 28
r 16 28
r 56 28
e 64 27
e 101 27
e 153 27
e 35 26
e 130 26
e 212 26
r 42 26
e 41 25
e 135 25
e 179 25
e 222 25
e 51 24
e 79 24
e 115 24
e 129 24
e 137 24
e 142 24
e 166 24
e 170 24
e 199 24
r 31 24
e 42 23
e 86 23
e 200 23
e 36 22
e 43 22
e 89 22
e 168 22
e 174 22
e 206 22
e 72 21
e 117 21
e 128 21
e 92 20
e 157 20
e 160 20
e 192 20
r 37 20
r 48 20
e 59 19
e 169 19
e 189 19
e 221 19
e 161 18
e 63 17
e 190 17
r 30 17
r 33 17
r 45 17
r 59 17
r 68 17
e 126 16
e 162 16
e 163 16
e 220 16
r 8 16
e 188 15
e 202 15
e 210 15
e 215 15
e 239 15
r 62 15
e 91 14
e 193 14
e 211 14
e 224 14
r 39 14
e 11 13
e 34 13
e 230 13
r 28 13
e 133 12
e 134 12
e 198 12
r 35 12
e 96 11
e 123 11
e 127 11
e 143 11
e 151 11
e 214 11
r 29 11
r 49 11
e 10 10
e 20 10
e 23 10
e 93 10
e 207 10
r 26 10
r 44 10
r 66 10
e 8 9
e 57 9
e 154 9
e 186 9
r 40 9
r 57 9
e 113 8
e 146 8
e 167 8
e 175 8
e 201 8
r 52 8
e 56 7
e 94 7
e 108 7
e 171 7
e 172 7
e 229 7
e 235 7
r 18 7
r 36 7
r 74 7
r 78 7
e 21 6
e 37 6
e 52 6
e 112 6
e 122 6
e 191 6
e 208 6
e 240 6
r 15 6
r 64 6
r 73 6
r 85 6
e 48 5
e 71 5
e 111 5
e 158 5
e 164 5
e 194 5
e 205 5
e 216 5
e 223 5
e 225 5
e 233 5
e 250 5
e 257 5
e 270 5
r 34 5
r 50 5
r 54 5
r 70 5
r 76 5
e 107 4
e 165 4
e 184 4
e 195 4
e 203 4
e 204 4
e 219 4
e 238 4
e 243 4
e 247 4
e 248 4
e 265 4
r 47 4
r 53 4
r 61 4
r 69 4
r 72 4
r 80 4
r 90 4
e 54 3
e 136 3
e 180 3
e 181 3
e 183 3
e 185 3
e 187 3
e 197 3
e 209 3
e 217 3
e 226 3
e 227 3
e 237 3
e 242 3
e 251 3
e 253 3
e 254 3
e 258 3
e 262 3
e 266 3
r 32 3
r 89 3
r 91 3
r 100 3
e 75 2
e 114 2
e 178 2
e 213 2
e 228 2
e 232 2
e 234 2
e 236 2
e 241 2
e 246 2
e 255 2
e 263 2
e 275 2
r 25 2
r 58 2
r 77 2
r 79 2
r 82 2
r 83 2
r 84 2
r 88 2
r 95 2
r 98 2
r 99 2
r 105 2
r 110 2
e 138 1
e 139 1
e 148 1
e 182 1
e 218 1
e 231 1
e 244 1
e 245 1
e 249 1
e 252 1
e 256 1
e 259 1
e 260 1
e 261 1
e 264 1
e 267 1
e 268 1
e 269 1
e 271 1
e 272 1
e 273 1
e 274 1
e 276 1
e 277 1
e 278 1
e 279 1
r 43 1
r 46 1
r 55 1
r 63 1
r 65 1
r 67 1
r 71 1
r 75 1
r 81 1
r 86 1
r 87 1
r 92 1
r 93 1
r 94 1
r 96 1
r 97 1
r 101 1
r 102 1
r 103 1
r 104 1
r 106 1
r 107 1
r 108 1
r 109 1
r 111 1
